source_id,RA_deg,ra_error,Dec_deg,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor,duplicated_source
1433145653698070528,260.48328358726246,0.021941224,57.830207082952626,0.021719478,1.987619569240584,0.0231209,-4.62933965731056,0.026620591,-27.4462450476306,0.028431673,,,86.24869204521865,34.49741307761261,15.23487,15.847524,14.490625,1.3568983,1.0635526,517.4406,1.2479138,False
1433145688057810048,260.51076783992164,0.01822603,57.84812989369009,0.017121408,1.3713157157616203,0.018805882,0.008930902097903648,0.020292314,-2.5005414947016065,0.022173895,-39.91835,5.289991,86.26945999727882,34.48184875755468,14.593993,14.974674,14.010316,0.9643583,1.1263938,711.3998,1.231318,False
1433145821200786560,260.5848171540225,0.14884262,57.856094834577284,0.14770438,1.3869740377399973,0.16160953,-5.21008551396607,0.1695129,-0.9398287894109224,0.1885017,,,86.27658887840528,34.44208170428566,18.711758,19.851242,17.58638,2.264862,1.0352466,708.8856,1.4406663,False
1433145821200791808,260.59408096044444,0.07613918,57.85965974498506,0.07682124,0.5088436955837976,0.08180163,-0.8969788058651775,0.0887309,-6.794365445491231,0.09451948,,,86.28059402341188,34.43697402455057,17.498861,17.990015,16.875237,1.1147785,1.0709362,1697.3442,1.2089132,False
1433146134734410496,260.55056107792115,0.046827637,57.87786953032334,0.043448824,1.1294870759786717,0.04960435,3.421605886822294,0.055994697,-1.4733774603705652,0.0556856,,,86.30411979525113,34.45913222507926,16.72479,17.374352,15.968684,1.4056673,0.95235014,971.6289,1.243305,False
1433146203453888256,260.61701535873306,0.04227418,57.89214179638993,0.03909494,0.7483279068579476,0.04506297,-11.590267446627259,0.05094992,-5.109356601792248,0.047857326,,,86.31915107625456,34.4231027217772,16.152523,16.57823,15.535105,1.0431252,1.1791984,1263.1771,1.2333151,False
1433146370956586880,260.4514892364332,0.09611787,57.850008590147745,0.09241992,2.3547183280630106,0.10300746,-22.250117086460264,0.11006079,13.645878004982336,0.1277569,,,86.27379015692811,34.5132476885061,17.922445,19.391617,16.749327,2.64229,1.12578,393.4661,1.427521,False
1433146375252576384,260.444523746242,0.018059276,57.847273673927525,0.017498527,0.604653395910931,0.019129874,4.404319369967312,0.02110803,-16.582625890228094,0.02489318,,,86.27071947978061,34.51709709743716,14.743175,15.084102,14.229938,0.8541641,0.9981204,1905.0684,1.2050993,False
1433146409612447616,260.4135689126772,0.04561146,57.849336061593704,0.04355459,0.2968716484220396,0.049239837,-8.665224641546708,0.05350844,-9.014630520594554,0.06070189,,,86.27430748655826,34.53343340760834,16.775566,17.082256,16.2954,0.7868557,0.92162377,1702.0742,1.2018117,False
1433146512691531904,260.50574674568423,0.024608359,57.87176209337595,0.02251883,0.6828126612947093,0.025726052,-0.870195668245785,0.028770845,-6.133154530700413,0.029798266,,,86.2982615667653,34.483254628598466,15.408671,15.737804,14.911702,0.82610226,1.0205312,1320.2458,1.2008426,False
1433146547051270016,260.47884275535296,0.011184874,57.877616120399736,0.010217927,0.9702595019865541,0.011843381,-6.734060857063078,0.013330814,-3.3502804681846516,0.013936628,16.263296,2.8970752,86.30628758056126,34.497225786146046,13.414574,13.820971,12.844709,0.97626114,0.84575194,1064.3865,1.2102538,False
1433146680194256896,260.414409709449,0.0533268,57.87017810865661,0.05038748,1.9074483132778706,0.058983184,-18.634673541904544,0.062825024,8.166805953588547,0.07189059,,,86.29953949485756,34.531844601397104,16.984545,18.046515,15.975492,2.071023,0.9459111,644.2828,1.338883,False
1433146851993003776,260.5028518875069,0.05233589,57.9043183105931,0.051592957,1.1633444050644486,0.057210065,7.538828961790011,0.0646308,-0.13985999812840633,0.06846068,,,86.33780074960913,34.483040495509414,17.001444,17.810352,16.140244,1.6701088,1.01303,892.5373,1.2747239,False
1433146886352717056,260.54700544297486,0.18081462,57.8878814023653,0.16326869,1.1614537948302648,0.18725768,0.5098353559273561,0.21505477,3.956617669145667,0.21361199,,,86.31636692937637,34.46048886891525,18.85604,19.924768,17.896606,2.028162,1.0635575,598.7197,1.2895596,False
1433147028087610496,260.60889104398154,0.018222349,57.91522882291542,0.017355727,0.9424331313077722,0.01975812,-18.63088531169213,0.022800623,-2.6062870832707934,0.021142256,,,86.34737523101803,34.42620565543377,14.73993,15.049902,14.2629385,0.78696346,1.0191646,1047.478,1.1982491,False
1433147234246040192,260.53414729987463,0.024685249,57.924936077758254,0.021853197,0.8893143037785823,0.026112558,-4.943789440096216,0.029305885,-0.6177254164689783,0.02777194,,,86.36168794161665,34.46533020456735,15.327855,15.670547,14.817846,0.85270023,0.9606298,1053.5566,1.2022344,False
1433147401748908288,260.6198094392792,0.1649788,57.96205807230445,0.15089117,0.8827355967236138,0.1749615,3.6320643823375254,0.19530034,1.951789899225319,0.18971626,,,86.40369579081326,34.41794919523341,18.827288,19.860386,17.828997,2.0313892,0.9659004,662.4381,1.335716,False
1433147612203246976,259.8203793073356,0.034267828,57.636570510691925,0.033152297,0.5583226313037393,0.03398835,1.6303444389042459,0.04069534,4.253744451403744,0.04339615,,,86.03824800455331,34.861813983233354,16.160711,16.51145,15.650151,0.86129856,1.0138724,1372.0054,1.1986699,False
1433147710987629184,259.7278639425742,0.08652284,57.6312773565655,0.08739542,0.5008862619288187,0.08994092,-8.178884424260897,0.11036352,-5.226630590306351,0.12245499,,,86.03553572299013,34.911572270817764,17.945814,18.608648,17.167004,1.4416447,1.0540795,1801.0453,1.2563082,False
1433147814066801024,259.75396128635253,0.015208737,57.64691466814128,0.014685036,1.3464022002337745,0.015425752,-4.160247281279264,0.01904259,-22.818944978205696,0.019153902,-34.438343,2.5956113,86.05350460887635,34.89665637275542,13.630519,14.010284,13.087176,0.9231081,1.2681103,719.9027,1.2054707,False
1433147848426591616,259.77933846054594,0.07848053,57.65537760996686,0.07669311,0.7080853946488251,0.08031469,-3.2982020679078774,0.09672078,-10.50677086069122,0.10628323,,,86.06277462169679,34.882578613051095,17.73359,18.344187,16.997496,1.3466911,1.0243928,1570.815,1.242448,False
1433147882786333056,259.8200196083276,0.17201056,57.66277937641315,0.18026465,1.0588637791914566,0.17698221,-3.2553081580257173,0.22305055,-9.008927399783902,0.24234705,,,86.07014340653996,34.86040096079176,19.079361,20.23885,18.001648,2.2372017,1.0323409,,1.3850592,False
1433147921440892416,259.7655558916084,0.10988728,57.65297464073828,0.10655001,2.8443618514928204,0.11186081,-36.87956053569723,0.13484915,20.39159285064524,0.14945774,,,86.06040837909102,34.89008751317521,18.122484,19.667334,16.920336,2.7469978,1.0386753,,1.448506,False
