source_id,RA_deg,RA_error,Dec_deg,Dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,l,b,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,distance_gspphot,phot_bp_rp_excess_factor
1.43E+18,259.8543096,0.009884785,57.87946532,0.010094657,0.503245837,0.010264532,2.247025894,0.012672999,-4.945411643,0.01286819,-40.683296,0.570646,86.33226028,34.82861605,12.028193,12.539417,11.356968,1.1824493,1.0311157,1751.7845,1.2339678
1.43E+18,260.4631146,0.013149255,58.32923435,0.012515591,1.339839189,0.01339863,5.370092258,0.018060451,-3.575446814,0.01817354,3.902597,7.163093,86.85389634,34.47984651,14.275034,14.5622,13.667522,0.89467716,1.0312879,730.8591,1.293251
1.43E+18,259.7976901,0.014867606,58.01342753,0.015034454,1.797559439,0.015016944,-3.644689154,0.019208752,-0.140564142,0.018782739,19.535458,3.2151349,86.497506,34.84992779,14.314715,14.730082,13.738668,0.9914131,1.0321178,533.5399,1.2102127
1.43E+18,260.266735,0.012539078,57.63737361,0.012717138,1.842068168,0.013183578,7.397781802,0.016777037,-0.335425435,0.01890486,-12.199038,5.217833,86.022441,34.62324026,14.12719,14.519505,13.570243,0.94926167,1.0321238,521.4437,1.2083503
1.43E+18,260.5584658,0.012056855,58.19508555,0.010264464,2.35529791,0.012066965,-2.260825381,0.015662726,-9.388749625,0.014342452,-27.062628,0.14358415,86.68793799,34.43757377,9.384258,9.940649,8.680344,1.2603054,1.034122,,1.2393894
1.43E+18,260.2588822,0.013968298,57.76905062,0.014034488,0.786102997,0.014597364,-1.369520868,0.017302979,-8.708555316,0.019826835,-12.29776,7.662585,86.18249016,34.62016029,14.433185,14.716595,13.98663,0.72996426,1.0353132,,1.1936935
1.43E+18,260.5671328,0.014969153,57.64918513,0.014767046,1.561109921,0.015429462,6.651292118,0.020006813,-16.78310466,0.019465927,-22.233973,6.0870414,86.0265794,34.4620736,14.572037,14.947322,14.027881,0.9194412,1.0355769,630.7128,1.2081046
1.43E+18,259.792872,0.016351715,58.35650855,0.024500448,1.046661724,0.017435476,-4.214525967,0.02379965,0.610502487,0.031535268,-17.847294,7.339718,86.91475305,34.82909799,14.522397,14.876606,14.00729,0.8693161,1.0372669,940.178,1.1998215
1.43E+18,259.4506082,0.016733091,57.76572073,0.020911915,2.684272855,0.018221589,6.353778518,0.021519247,40.78092571,0.025689512,16.089087,3.4562786,86.21108597,35.05063048,14.529344,15.145784,13.779076,1.3667088,1.0375915,370.4478,1.2511256
1.43E+18,260.2770159,0.011261291,57.59268457,0.011624211,1.248942275,0.012205805,5.676567999,0.013897054,-1.448164169,0.018063232,-3.3541539,4.684462,85.9678535,34.62015547,13.583414,13.867653,13.143975,0.72367764,1.0377935,773.7108,1.1891191
1.43E+18,259.9408809,0.014561437,57.98323567,0.015529911,0.885669279,0.015234237,-7.785420161,0.018499754,0.988938833,0.022614539,-45.59999,2.9013429,86.45482779,34.77615774,14.340958,14.723288,13.80335,0.91993713,1.037997,1080.9625,1.2006066
1.43E+18,259.9400356,0.011078734,58.10359698,0.012248164,1.192692321,0.012425107,-13.85444897,0.014253806,36.40832064,0.017714623,-55.28593,3.2041926,86.60108849,34.76887916,13.554593,13.870563,13.07085,0.7997122,1.0409437,819.9009,1.1993207
1.43E+18,260.215281,0.01226477,57.59581133,0.012376075,0.949018688,0.012742014,-3.000117581,0.015698664,0.071454365,0.017307183,-33.026016,3.621444,85.97382554,34.65302207,14.042303,14.354528,13.5648575,0.78967094,1.041232,1033.0856,1.1973922
1.43E+18,259.6427164,0.014766184,57.59831649,0.015006765,2.193970519,0.015518716,-4.862014791,0.018497065,5.799531085,0.0195389,8.546714,4.3616304,85.99890614,34.95915977,14.394682,14.90906,13.735898,1.1731615,1.0458109,457.4666,1.2237552
1.43E+18,259.784902,0.0165198,58.28624139,0.022133982,2.487248103,0.018550964,-5.093878083,0.021072237,-1.195003144,0.02759936,-12.022209,5.7207737,86.8297116,34.8381812,14.503273,15.129904,13.727244,1.4026594,1.0459698,399.5359,1.2674556
1.43E+18,259.5015952,0.010368768,58.17736576,0.01031898,0.58863464,0.011360363,-6.460828394,0.013404321,6.140006486,0.013423011,-5.953733,1.1565826,86.71018187,34.99468985,13.150293,13.626053,12.5148735,1.1111794,1.0467356,1465.6625,1.2236663
1.43E+18,259.7156604,0.015544272,57.83524659,0.016750421,1.437024288,0.0173819,-9.641117373,0.02092455,16.43396511,0.025925402,-42.498642,5.803584,86.28425846,34.90507176,14.615437,15.034808,14.032174,1.002634,1.046849,681.8038,1.2131625
1.43E+18,259.7785048,0.012473315,58.07945586,0.015579116,0.597206252,0.014490698,-4.085677533,0.017117266,-5.148524801,0.019780917,0.59496003,2.749559,86.57861215,34.85566559,13.991169,14.4287615,13.379747,1.0490141,1.0473709,,1.2238867
1.43E+18,259.6263648,0.016751425,57.8181006,0.022275528,1.897450899,0.019932423,-2.504926758,0.022594409,36.46844949,0.032203518,-79.34012,5.562116,86.26719757,34.95364314,14.727812,15.162239,14.1265135,1.0357256,1.0481714,535.1988,1.2184409
1.43E+18,260.2954761,0.014096631,58.16259395,0.013875465,1.363509716,0.014486826,0.226582567,0.017286496,-17.38139325,0.020387506,8.167798,5.7641788,86.65840746,34.57790158,13.942056,14.258508,13.465751,0.79275703,1.0500307,660.4058,1.1945921
1.43E+18,260.4892197,0.014117839,58.05069547,0.01237751,1.04133946,0.014949581,4.110138037,0.01627456,-4.85246389,0.017367631,-65.527695,1.8186586,86.5155923,34.48221166,12.8861265,13.21087,12.391577,0.819293,1.0516644,888.3499,1.2015313
